NBA Season,Team Season,Conference,Finish,Division,Finish,Wins,Losses,Win%,GB
1957?58,1957?58,,,Western,3rd,33,39,0.458,8
1958?59,1958?59,,,Western,3rd,28,44,0.389,21
1959?60,1959?60,,,Western,2nd,30,45,0.4,16
1960?61,1960?61,,,Western,3rd,34,45,0.43,17
1961?62,1961?62,,,Western,3rd,37,43,0.463,17
1962?63,1962?63,,,Western,3rd,34,46,0.425,19
1963?64,1963?64,,,Western,5th,23,57,0.288,25
1964?65,1964?65,,,Western,4th,31,49,0.388,18
1965?66,1965?66,,,Western,5th,22,58,0.275,23
1966?67,1966?67,,,Western,5th,30,51,0.37,14
1967?68,1967?68,,,Eastern,4th,40,42,0.488,22
1968?69,1968?69,,,Eastern,6th,32,50,0.39,25
1969?70,1969?70,,,Eastern,7th,31,51,0.378,29
1970?71,1970?71,Western,6th,Midwest,4th,45,37,0.549,21
1971?72,1971?72,Western,8th,Midwest,4th,26,56,0.317,37
1972?73,1972?73,Western,5th,Midwest,3rd,40,42,0.488,20
1973?74,1973?74,Western,4th,Midwest,3rd,52,30,0.634,7
1974?75,1974?75,Western,5th,Midwest,3rd,40,42,0.488,7
1975?76,1975?76,Western,5th,Midwest,2nd,36,46,0.439,2
1976?77,1976?77,Western,5th,Midwest,2nd,44,38,0.537,6
1977?78,1977?78,Western,9th,Midwest,4th,38,44,0.463,10
1978?79,1978?79,Eastern,9th,Central,5th,30,52,0.366,18
1979?80,1979?80,Eastern,11th,Central,6th,16,66,0.195,34
1980?81,1980?81,Eastern,11th,Central,6th,21,61,0.256,39
1981?82,1981?82,Eastern,7th,Central,3rd,39,43,0.476,16
1982?83,1982?83,Eastern,8th,Central,3rd,37,45,0.451,14
1983?84,1983?84,Eastern,4th,Central,2nd,49,33,0.598,1
1984?85,1984?85,Eastern,4th,Central,2nd,46,36,0.561,13
1985?86,1985?86,Eastern,5th,Central,3rd,46,36,0.561,11
1986?87,1986?87,Eastern,3rd,Central,2nd,52,30,0.634,5
1987?88,1987?88,Eastern,2nd,Central,1st,54,28,0.659,?
1988?89,1988?89,Eastern,1st,Central,1st,63,19,0.768,?
1989?90,1989?90,Eastern,1st,Central,1st,59,23,0.72,?
1990?91,1990?91,Eastern,3rd,Central,2nd,50,32,0.61,11
1991?92,1991?92,Eastern,5th,Central,3rd,48,34,0.585,19
1992?93,1992?93,Eastern,10th,Central,6th,40,42,0.488,17
1993?94,1993?94,Eastern,14th,Central,6th,20,62,0.244,37
1994?95,1994?95,Eastern,12th,Central,7th,28,54,0.341,24
1995?96,1995?96,Eastern,7th,Central,5th,46,36,0.561,26
1996?97,1996?97,Eastern,5th,Central,4th,54,28,0.659,15
1997?98,1997?98,Eastern,11th,Central,6th,37,45,0.451,25
1998?99,1998?99,Eastern,5th,Central,3rd,29,21,0.58,4
1999?00,1999?00,Eastern,7th,Central,5th,42,40,0.512,14
2000?01,2000?01,Eastern,10th,Central,5th,32,50,0.39,20
2001?02,2001?02,Eastern,2nd,Central,1st,50,32,0.61,?
2002?03,2002?03,Eastern,1st,Central,1st,50,32,0.61,?
2003?04,2003?04,Eastern,3rd,Central,2nd,54,28,0.659,7
2004?05,2004?05,Eastern,2nd,Central,1st,54,28,0.659,?
2005?06,2005?06,Eastern,1st,Central,1st,64,18,0.78,?
2006?07,2006?07,Eastern,1st,Central,1st,53,29,0.646,?
2007?08,2007?08,Eastern,2nd,Central,1st,59,23,0.72,?
2008?09,2008?09,Eastern,8th,Central,3rd,39,43,0.476,27
2009?10,2009?10,Eastern,12th,Central,5th,27,55,0.329,34
2010?11,2010?11,Eastern,11th,Central,4th,30,52,0.366,32
2011?12,2011?12,Eastern,10th,Central,4th,25,41,0.379,25
2012?13,2012?13,Eastern,11th,Central,4th,29,53,0.354,20.5
2013?14,2013?14,Eastern,11th,Central,4th,29,53,0.354,27
2014?15,2014?15,Eastern,12th,Central,5th,32,50,0.39,21
2015?16,2015?16,Eastern,8th,Central,3rd,44,38,0.537,13
2016?17,2016?17,Eastern,10th,Central,5th,37,45,0.451,14
2017?18,2017?18,Eastern,9th,Central,4th,39,43,0.476,11
2018?19,2018?19,Eastern,8th,Central,3rd,41,41,0.5,19
